,PFA-1-1,PFA-2-1,PFA-3-1,PFA-4-1,PFV-1-1,PFV-2-1,PFV-3-1,PFV-4-1,PID-1-1,PID-2-1,PID-3-1,PFA-1-2,PFA-2-2,PFA-3-2,PFA-4-2,PFV-1-2,PFV-2-2,PFV-3-2,PFV-4-2,PID-1-2,PID-2-2,PID-3-2
Units,g,g,g,g,inps,inps,inps,inps,rad,rad,rad,g,g,g,g,inps,inps,inps,inps,rad,rad,rad
0,0.1988410973084886,0.0870152691511387,0.6584601449275362,0.1768843167701863,56.8635,37.8681,19.5551,14.2649,0.2000258974358974,0.1434057692307692,0.0747083333333333,0.1988410973084886,0.0870152691511387,0.6584601449275362,0.1768843167701863,56.8635,37.8681,19.5551,14.2649,0.2000258974358974,0.1434057692307692,0.0747083333333333
1,1.019337474120083,1.1647489648033127,0.1410923913043478,0.621322463768116,95.6817,24.1276,35.8307,86.0766,0.2000480769230769,0.0026147435897435,0.0160692307692307,1.019337474120083,1.1647489648033127,0.1410923913043478,0.621322463768116,95.6817,24.1276,35.8307,86.0766,0.2000480769230769,0.0026147435897435,0.0160692307692307
3,6.447955486542443,2.593245341614907,1.822217908902692,1.2129710144927537,85.6955,82.3766,83.023,91.2001,0.1209980769230769,0.0433878205128205,0.0443826923076923,6.447955486542443,2.593245341614907,1.822217908902692,1.2129710144927537,85.6955,82.3766,83.023,91.2001,0.1209980769230769,0.0433878205128205,0.0443826923076923
4,2.1798990683229813,0.8686516563146999,0.1935828157349896,0.6890683229813664,107.785,33.1092,22.0954,2.0165,0.2000629807692307,0.0459499999999999,0.0302641025641025,2.1798990683229813,0.8686516563146999,0.1935828157349896,0.6890683229813664,107.785,33.1092,22.0954,2.0165,0.2000629807692307,0.0459499999999999,0.0302641025641025
5,0.3989182194616977,0.4353856107660456,0.0586501035196687,0.0872818322981366,76.0216,37.1323,30.0303,12.4862,0.1999560256410256,0.0412782051282051,0.0319653846153846,0.3989182194616977,0.4353856107660456,0.0586501035196687,0.0872818322981366,76.0216,37.1323,30.0303,12.4862,0.1999560256410256,0.0412782051282051,0.0319653846153846
6,2.5904503105590067,0.8363198757763975,0.2631909937888199,0.4777458592132505,81.9817,77.7784,84.5447,109.34,0.2000615384615384,0.0297198717948717,0.0128307692307692,2.5904503105590067,0.8363198757763975,0.2631909937888199,0.4777458592132505,81.9817,77.7784,84.5447,109.34,0.2000615384615384,0.0297198717948717,0.0128307692307692
7,1.1749844720496896,0.4419487577639752,0.3724818840579711,0.3041692546583851,76.7803,98.0386,100.947,128.6,0.1999589743589743,0.0239641025641026,0.0071884615384615,1.1749844720496896,0.4419487577639752,0.3724818840579711,0.3041692546583851,76.7803,98.0386,100.947,128.6,0.1999589743589743,0.0239641025641026,0.0071884615384615
8,6.302691511387164,2.0836516563147,1.1391589026915114,1.022717391304348,167.144,168.86700000000002,170.77599999999998,172.037,0.0849429487179487,0.0554846153846153,0.0452544871794871,6.302691511387164,2.0836516563147,1.1391589026915114,1.022717391304348,167.144,168.86700000000002,170.77599999999998,172.037,0.0849429487179487,0.0554846153846153,0.0452544871794871
10,0.3193090062111801,0.0888423913043478,0.1013276397515528,0.1425587474120082,80.3103,79.3419,79.4982,80.5145,0.0024935897435897,0.0037371794871794,0.0034961538461538,0.3193090062111801,0.0888423913043478,0.1013276397515528,0.1425587474120082,80.3103,79.3419,79.4982,80.5145,0.0024935897435897,0.0037371794871794,0.0034961538461538
11,5.994254658385093,2.422872670807453,1.4973266045548654,1.267707039337474,79.8554,81.9032,82.8232,83.3532,0.0925591025641025,0.0689185897435897,0.0585692307692307,5.994254658385093,2.422872670807453,1.4973266045548654,1.267707039337474,79.8554,81.9032,82.8232,83.3532,0.0925591025641025,0.0689185897435897,0.0585692307692307
12,0.9822593167701864,0.1953092650103519,0.1666143892339544,0.0386304347826087,12.1186,36.8556,60.5852,60.0909,0.2000108974358974,0.1243467948717948,0.1082057692307692,0.9822593167701864,0.1953092650103519,0.1666143892339544,0.0386304347826087,12.1186,36.8556,60.5852,60.0909,0.2000108974358974,0.1243467948717948,0.1082057692307692
13,0.7591200828157351,0.0467512939958592,0.3640786749482402,0.06903933747412,41.3095,8.181339999999999,40.9693,66.0615,0.2000365384615385,0.1090564102564102,0.0581384615384615,0.7591200828157351,0.0467512939958592,0.3640786749482402,0.06903933747412,41.3095,8.181339999999999,40.9693,66.0615,0.2000365384615385,0.1090564102564102,0.0581384615384615
14,1.7454296066252588,0.4603260869565218,0.4989544513457557,0.835018115942029,111.696,90.3503,103.056,138.38299999999998,0.1999711538461538,0.0140493589743589,0.0149089743589743,1.7454296066252588,0.4603260869565218,0.4989544513457557,0.835018115942029,111.696,90.3503,103.056,138.38299999999998,0.1999711538461538,0.0140493589743589,0.0149089743589743
15,1.472437888198758,0.1660496894409938,0.060473602484472,0.2420535714285714,8.51464,22.9002,50.2592,63.1397,0.2000147435897436,0.0839391025641025,0.0485833333333332,1.472437888198758,0.1660496894409938,0.060473602484472,0.2420535714285714,8.51464,22.9002,50.2592,63.1397,0.2000147435897436,0.0839391025641025,0.0485833333333332
20,0.7506521739130436,0.1418514492753623,0.3778752587991718,0.0446710662525879,77.7211,40.6562,20.0247,9.78312,0.1999442307692307,0.1501929487179487,0.048101282051282,0.7506521739130436,0.1418514492753623,0.3778752587991718,0.0446710662525879,77.7211,40.6562,20.0247,9.78312,0.1999442307692307,0.1501929487179487,0.048101282051282
21,4.475465838509317,1.9212888198757767,1.3180124223602483,1.3327820910973085,73.6123,72.2454,79.9655,83.4335,0.0396628205128205,0.0359128205128204,0.0373653846153846,4.475465838509317,1.9212888198757767,1.3180124223602483,1.3327820910973085,73.6123,72.2454,79.9655,83.4335,0.0396628205128205,0.0359128205128204,0.0373653846153846
22,0.8511853002070394,0.6934497929606626,0.1264112318840579,0.5703234989648033,257.57,101.169,93.1828,71.291,0.2001946153846153,0.0302423076923076,0.0145673076923076,0.8511853002070394,0.6934497929606626,0.1264112318840579,0.5703234989648033,257.57,101.169,93.1828,71.291,0.2001946153846153,0.0302423076923076,0.0145673076923076
23,6.901216356107661,2.349943064182195,1.1798524844720495,1.2495005175983436,143.726,124.567,121.703,161.347,0.224016282051282,0.138496282051282,0.1260852564102564,6.901216356107661,2.349943064182195,1.1798524844720495,1.2495005175983436,143.726,124.567,121.703,161.347,0.224016282051282,0.138496282051282,0.1260852564102564
24,11.46850414078675,3.971428571428572,2.0911671842650104,1.7800724637681162,181.871,157.836,139.828,139.334,0.227441923076923,0.1903383333333333,0.1519307692307692,11.46850414078675,3.971428571428572,2.0911671842650104,1.7800724637681162,181.871,157.836,139.828,139.334,0.227441923076923,0.1903383333333333,0.1519307692307692
25,0.8823602484472051,0.4180978260869565,0.5914026915113872,0.0140805641821946,66.8487,38.7004,12.1242,18.9083,0.2000400641025641,0.1053102564102563,0.0122576923076923,0.8823602484472051,0.4180978260869565,0.5914026915113872,0.0140805641821946,66.8487,38.7004,12.1242,18.9083,0.2000400641025641,0.1053102564102563,0.0122576923076923
26,0.2291827122153209,0.3343814699792961,0.0787119565217391,0.1408242753623188,74.0645,57.1717,36.8299,21.857,0.1999860256410256,0.1137942307692307,0.0921666666666666,0.2291827122153209,0.3343814699792961,0.0787119565217391,0.1408242753623188,74.0645,57.1717,36.8299,21.857,0.1999860256410256,0.1137942307692307,0.0921666666666666
28,4.757660455486542,1.7554710144927537,1.3542158385093168,1.2161154244306418,122.295,123.536,125.822,127.463,0.0655410256410256,0.0443160256410256,0.0428333333333333,4.757660455486542,1.7554710144927537,1.3542158385093168,1.2161154244306418,122.295,123.536,125.822,127.463,0.0655410256410256,0.0443160256410256,0.0428333333333333
31,0.3020160455486542,0.209236801242236,0.2013527432712215,0.1661413043478261,25.1752,8.75528,11.9917,16.2102,0.2000294871794872,0.0468807692307692,0.0294358974358974,0.3020160455486542,0.209236801242236,0.2013527432712215,0.1661413043478261,25.1752,8.75528,11.9917,16.2102,0.2000294871794872,0.0468807692307692,0.0294358974358974
32,4.271635610766046,0.6603933747412009,0.4958048654244307,0.0526498447204969,121.613,3.03123,16.8873,54.7105,0.2001132756410256,0.0017653846153846,0.0177185897435897,4.271635610766046,0.6603933747412009,0.4958048654244307,0.0526498447204969,121.613,3.03123,16.8873,54.7105,0.2001132756410256,0.0017653846153846,0.0177185897435897
33,3.356987577639752,1.5071118012422362,1.03375,1.1563017598343686,84.9023,86.0595,87.4839,89.3842,0.0431743589743589,0.049576923076923,0.0375333333333333,3.356987577639752,1.5071118012422362,1.03375,1.1563017598343686,84.9023,86.0595,87.4839,89.3842,0.0431743589743589,0.049576923076923,0.0375333333333333
34,4.52062629399586,0.6266692546583852,0.7266692546583852,0.1075667701863354,19.4866,78.7499,87.2263,88.5213,0.2000282051282051,0.0768410256410256,0.0518653846153845,4.52062629399586,0.6266692546583852,0.7266692546583852,0.1075667701863354,19.4866,78.7499,87.2263,88.5213,0.2000282051282051,0.0768410256410256,0.0518653846153845
35,3.591174948240166,0.9445522774327124,0.7049120082815735,0.7520134575569358,102.693,95.7788,97.7232,99.0017,0.0560474358974359,0.0393846153846154,0.0375108974358974,3.591174948240166,0.9445522774327124,0.7049120082815735,0.7520134575569358,102.693,95.7788,97.7232,99.0017,0.0560474358974359,0.0393846153846154,0.0375108974358974
36,5.974689440993789,2.571074016563147,1.3485947204968944,1.0950983436853,150.537,146.446,140.92600000000002,136.591,0.0835769871794871,0.0620801282051282,0.0530243589743589,5.974689440993789,2.571074016563147,1.3485947204968944,1.0950983436853,150.537,146.446,140.92600000000002,136.591,0.0835769871794871,0.0620801282051282,0.0530243589743589
37,7.5121376811594205,3.060455486542443,1.7040864389233954,1.3021946169772258,99.8607,94.6273,91.0004,96.786,0.0791788461538461,0.0641826923076923,0.0520128205128204,7.5121376811594205,3.060455486542443,1.7040864389233954,1.3021946169772258,99.8607,94.6273,91.0004,96.786,0.0791788461538461,0.0641826923076923,0.0520128205128204
41,1.110830745341615,0.1038783643892339,0.5934756728778469,0.5327691511387164,69.2012,13.9899,43.4637,42.9921,0.2000570512820513,0.0936865384615385,0.0049532051282051,1.110830745341615,0.1038783643892339,0.5934756728778469,0.5327691511387164,69.2012,13.9899,43.4637,42.9921,0.2000570512820513,0.0936865384615385,0.0049532051282051
42,6.047463768115942,2.2528260869565218,1.2855848861283643,1.3285869565217392,88.0578,90.0537,83.6354,86.8283,0.1312153846153846,0.0754807692307692,0.0687852564102564,6.047463768115942,2.2528260869565218,1.2855848861283643,1.3285869565217392,88.0578,90.0537,83.6354,86.8283,0.1312153846153846,0.0754807692307692,0.0687852564102564
45,0.7161231884057971,0.5332375776397515,0.1683315217391304,0.133347049689441,40.0475,31.9613,48.4801,92.8793,0.2000358333333333,0.0047737179487179,0.0074576923076923,0.7161231884057971,0.5332375776397515,0.1683315217391304,0.133347049689441,40.0475,31.9613,48.4801,92.8793,0.2000358333333333,0.0047737179487179,0.0074576923076923
47,4.365942028985508,1.779518633540373,1.3236620082815735,1.2295419254658386,95.7884,98.3796,92.5613,90.4937,0.0400025641025641,0.0375564102564102,0.0400839743589743,4.365942028985508,1.779518633540373,1.3236620082815735,1.2295419254658386,95.7884,98.3796,92.5613,90.4937,0.0400025641025641,0.0375564102564102,0.0400839743589743
48,0.5001630434782609,0.3675465838509317,0.3764001035196687,0.0310675465838509,39.0089,33.1624,52.8376,55.8484,0.2000096153846153,0.1258153846153846,0.074126923076923,0.5001630434782609,0.3675465838509317,0.3764001035196687,0.0310675465838509,39.0089,33.1624,52.8376,55.8484,0.2000096153846153,0.1258153846153846,0.074126923076923
49,2.842624223602485,0.0257541666666666,0.2763819875776397,0.3291304347826087,127.069,58.8631,70.6124,90.4334,0.2000596153846154,0.003601282051282,0.0154429487179486,2.842624223602485,0.0257541666666666,0.2763819875776397,0.3291304347826087,127.069,58.8631,70.6124,90.4334,0.2000596153846154,0.003601282051282,0.0154429487179486
50,4.485817805383022,1.8140087991718428,1.2622903726708077,1.3979037267080745,75.2601,75.3585,82.7178,85.8455,0.0484301282051282,0.0554403846153846,0.0523185897435897,4.485817805383022,1.8140087991718428,1.2622903726708077,1.3979037267080745,75.2601,75.3585,82.7178,85.8455,0.0484301282051282,0.0554403846153846,0.0523185897435897
51,3.86972049689441,1.495315734989648,1.1517520703933748,1.223592132505176,81.5863,81.3796,80.4811,75.4054,0.0281544871794871,0.0274435897435897,0.0304724358974359,3.86972049689441,1.495315734989648,1.1517520703933748,1.223592132505176,81.5863,81.3796,80.4811,75.4054,0.0281544871794871,0.0274435897435897,0.0304724358974359
52,5.049042443064183,1.6213302277432713,1.0390398550724638,1.1936206004140786,89.7848,87.8635,81.7242,77.569,0.0431416666666666,0.0296788461538461,0.0338115384615384,5.049042443064183,1.6213302277432713,1.0390398550724638,1.1936206004140786,89.7848,87.8635,81.7242,77.569,0.0431416666666666,0.0296788461538461,0.0338115384615384
53,1.9035584886128365,0.3271402691511387,0.4002743271221532,0.3641485507246377,48.2795,12.7271,32.6623,48.7763,0.1969135897435897,0.1028891025641025,0.0446858974358974,1.9035584886128365,0.3271402691511387,0.4002743271221532,0.3641485507246377,48.2795,12.7271,32.6623,48.7763,0.1969135897435897,0.1028891025641025,0.0446858974358974
54,0.9718400621118012,0.320370082815735,0.2697644927536232,0.2441120600414078,116.962,119.707,118.1,113.95,0.0044698717948717,0.0048596153846153,0.0051535256410256,0.9718400621118012,0.320370082815735,0.2697644927536232,0.2441120600414078,116.962,119.707,118.1,113.95,0.0044698717948717,0.0048596153846153,0.0051535256410256
55,0.5842857142857143,0.2129609213250517,0.6335222567287785,0.1929997412008282,118.418,25.3786,10.6667,14.4687,0.1998741025641025,0.0374371794871795,0.0220173076923076,0.5842857142857143,0.2129609213250517,0.6335222567287785,0.1929997412008282,118.418,25.3786,10.6667,14.4687,0.1998741025641025,0.0374371794871795,0.0220173076923076
56,0.4358954451345756,0.0989655797101449,0.1407738095238095,0.2209992236024844,87.25,86.7881,85.5866,85.5927,0.0030205128205128,0.0045583333333333,0.004851923076923,0.4358954451345756,0.0989655797101449,0.1407738095238095,0.2209992236024844,87.25,86.7881,85.5866,85.5927,0.0030205128205128,0.0045583333333333,0.004851923076923
57,0.4337137681159421,0.0980861801242236,0.093023033126294,0.1726224120082816,83.8134,85.6431,88.5633,91.1562,0.0024583333333333,0.0039410256410256,0.0042923076923076,0.4337137681159421,0.0980861801242236,0.093023033126294,0.1726224120082816,83.8134,85.6431,88.5633,91.1562,0.0024583333333333,0.0039410256410256,0.0042923076923076
59,2.3308436853002075,0.0020103752587991,0.1526581262939958,0.2558260869565217,47.869,13.3924,14.3331,10.3903,0.2000314102564102,0.0296403846153846,0.0031442307692307,2.3308436853002075,0.0020103752587991,0.1526581262939958,0.2558260869565217,47.869,13.3924,14.3331,10.3903,0.2000314102564102,0.0296403846153846,0.0031442307692307
60,7.93136645962733,2.8453416149068325,1.6490450310559008,1.7011930641821948,114.744,103.72,92.6559,85.6819,0.1838964102564102,0.0991168397435897,0.0759423076923077,7.93136645962733,2.8453416149068325,1.6490450310559008,1.7011930641821948,114.744,103.72,92.6559,85.6819,0.1838964102564102,0.0991168397435897,0.0759423076923077
