,PFA-1-1,PFA-2-1,PFA-3-1,PFA-4-1,PFV-1-1,PFV-2-1,PFV-3-1,PFV-4-1,PID-1-1,PID-2-1,PID-3-1,PFA-1-2,PFA-2-2,PFA-3-2,PFA-4-2,PFV-1-2,PFV-2-2,PFV-3-2,PFV-4-2,PID-1-2,PID-2-2,PID-3-2
Units,g,g,g,g,inps,inps,inps,inps,rad,rad,rad,g,g,g,g,inps,inps,inps,inps,rad,rad,rad
0,0.936881469979296,0.14217675983436853,0.16773990683229814,0.2487360248447205,38.9126,41.3594,44.7711,44.6592,0.002873461538461535,0.004290384615384614,0.004362179487179478,0.936881469979296,0.14217675983436853,0.16773990683229814,0.2487360248447205,38.9126,41.3594,44.7711,44.6592,0.002873461538461535,0.004290384615384614,0.004362179487179478
0,0.14446273291925465,0.09692106625258799,0.09908255693581781,0.10481495859213252,60.1753,60.2488,60.4313,60.6847,0.000912179487179502,0.0011076923076923223,0.0010250000000000025,0.14446273291925465,0.09692106625258799,0.09908255693581781,0.10481495859213252,60.1753,60.2488,60.4313,60.6847,0.000912179487179502,0.0011076923076923223,0.0010250000000000025
0,0.4045678053830228,0.09015683229813665,0.12636775362318842,0.18527872670807455,54.3733,53.9179,51.4553,50.8588,0.0033237179487179457,0.0047916666666666585,0.003987179487179486,0.4045678053830228,0.09015683229813665,0.12636775362318842,0.18527872670807455,54.3733,53.9179,51.4553,50.8588,0.0033237179487179457,0.0047916666666666585,0.003987179487179486
0,1.9159834368530022,0.9724301242236024,1.0956288819875777,0.9291097308488614,58.0771,52.0488,50.2599,58.9901,0.013117948717948719,0.014799999999999987,0.016641025641025643,1.9159834368530022,0.9724301242236024,1.0956288819875777,0.9291097308488614,58.0771,52.0488,50.2599,58.9901,0.013117948717948719,0.014799999999999987,0.016641025641025643
0,0.1710605590062112,0.0697675983436853,0.10052613871635611,0.1247098861283644,41.8776,42.6515,43.8357,44.5476,0.00250685897435898,0.0037173717948717887,0.0032173717948717983,0.1710605590062112,0.0697675983436853,0.10052613871635611,0.1247098861283644,41.8776,42.6515,43.8357,44.5476,0.00250685897435898,0.0037173717948717887,0.0032173717948717983
0,0.40950569358178057,0.10293012422360248,0.10816123188405798,0.15197515527950312,48.8717,47.8322,48.422,49.3564,0.0024403846153846155,0.003299935897435895,0.0033346794871794904,0.40950569358178057,0.10293012422360248,0.10816123188405798,0.15197515527950312,48.8717,47.8322,48.422,49.3564,0.0024403846153846155,0.003299935897435895,0.0033346794871794904
0,2.811904761904762,1.6482298136645963,1.1456780538302278,1.1413923395445136,38.3671,42.1372,47.7933,46.7162,0.03187698717948717,0.02143525641025641,0.021203846153846156,2.811904761904762,1.6482298136645963,1.1456780538302278,1.1413923395445136,38.3671,42.1372,47.7933,46.7162,0.03187698717948717,0.02143525641025641,0.021203846153846156
0,1.213592132505176,0.6206004140786751,0.6275931677018635,0.71444099378882,42.748999999999995,42.8298,47.2794,54.5945,0.01282051282051282,0.015374999999999991,0.016858974358974377,1.213592132505176,0.6206004140786751,0.6275931677018635,0.71444099378882,42.748999999999995,42.8298,47.2794,54.5945,0.01282051282051282,0.015374999999999991,0.016858974358974377
0,4.329011387163561,1.4376319875776398,1.2800465838509318,1.569865424430642,96.57600000000001,101.82799999999999,85.4316,71.2659,0.057930833333333334,0.045884999999999995,0.052290705128205134,4.329011387163561,1.4376319875776398,1.2800465838509318,1.569865424430642,96.57600000000001,101.82799999999999,85.4316,71.2659,0.057930833333333334,0.045884999999999995,0.052290705128205134
0,0.14650388198757763,0.06180305383022775,0.07011853002070394,0.09712888198757764,39.5053,39.5489,40.4089,41.672,0.0023551923076923107,0.003528012820512815,0.002792179487179492,0.14650388198757763,0.06180305383022775,0.07011853002070394,0.09712888198757764,39.5053,39.5489,40.4089,41.672,0.0023551923076923107,0.003528012820512815,0.002792179487179492
0,0.2209598861283644,0.08990062111801243,0.09209265010351968,0.15260688405797102,72.6301,72.9718,72.9686,72.4341,0.0013427564102564077,0.002051474358974359,0.0021324358974359014,0.2209598861283644,0.08990062111801243,0.09209265010351968,0.15260688405797102,72.6301,72.9718,72.9686,72.4341,0.0013427564102564077,0.002051474358974359,0.0021324358974359014
0,4.702225672877847,2.405610766045549,1.7826190476190475,1.7787085921325052,64.6687,65.9498,68.3821,70.1635,0.0602276923076923,0.045789102564102575,0.04765897435897436,4.702225672877847,2.405610766045549,1.7826190476190475,1.7787085921325052,64.6687,65.9498,68.3821,70.1635,0.0602276923076923,0.045789102564102575,0.04765897435897436
0,0.2158348861283644,0.06683022774327123,0.06770419254658386,0.11508048654244307,53.4403,52.7545,52.0191,50.8935,0.0028782051282051388,0.004090384615384625,0.0031653846153846168,0.2158348861283644,0.06683022774327123,0.06770419254658386,0.11508048654244307,53.4403,52.7545,52.0191,50.8935,0.0028782051282051388,0.004090384615384625,0.0031653846153846168
0,2.88398033126294,1.0086024844720498,0.9428234989648032,1.1403597308488613,50.5516,51.0914,52.8706,51.3839,0.06084102564102565,0.030112179487179497,0.030436538461538466,2.88398033126294,1.0086024844720498,0.9428234989648032,1.1403597308488613,50.5516,51.0914,52.8706,51.3839,0.06084102564102565,0.030112179487179497,0.030436538461538466
