S1,Ss,Tm,zetaM,gapRatio,RI,mu1,R1,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,IDALevel,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN15_KERN_TAF021,9.743036423700783,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166832,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.7243410980357696,0.4940752131603855,0.2864204930182356,0.30886945376813574,1.5,27.808000000000003,0.04550576923076926,0.04048076923076924,0.03619423076923079,4.307867494824016,1.6874171842650105,1.1900983436853003,1.0849534161490684,57.1025,57.1603,56.6044,60.3025,0,0,0,1,1,1,1,1,1,0.02769288461538462,0.009086089743589746,0.005906089743589746,1,1,1,1,0
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN65_SFERN_OPP000,27.474996875405694,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516662,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.703020646823959,0.9077457670605795,0.16769883223562687,0.24509565512649406,1.5,17.6382,0.0022615384615384745,0.0035076923076923085,0.003570384615384614,0.3775957556935818,0.08804865424430643,0.09819332298136646,0.14915502070393374,94.781,95.6966,96.8613,98.4234,0,0,0,0,0,0,0,0,0,2.1730769230772104e-05,1.7051282051282737e-05,0.0001939743589743601,0,0,0,0,0
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN82_SFERN_PHN180,19.651282791503355,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166468,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.1388521672057894,1.2606928425189126,0.5829754091569682,0.8359103498459086,1.5,30.6697,0.19996923076923076,0.15312115384615388,0.09085448717948716,0.17059187370600418,0.05453545548654245,0.13552251552795033,0.034009316770186336,1.57625,23.4087,42.5849,74.6013,1,1,1,1,1,1,1,1,1,0.4616666666666666,0.4376506410256411,0.3826153846153845,1,1,1,1,-3
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN68_SFERN_PEL090,6.08701660329925,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166217,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.513140413629484,0.4603096323197915,0.6368111619325664,0.6738497816317163,1.5,29.5894,0.20001929487179487,0.12413910256410259,0.016728846153846132,1.2434083850931679,0.13780615942028987,0.30883281573498966,0.31814440993788823,36.8601,7.1524399999999995,51.9958,51.5965,1,1,0,1,1,1,1,1,1,0.9688583333333333,0.9935769230769232,0.006519230769231108,1,1,1,1,-3
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN121_FRIULI.A_A-BCS000,80.97429041100413,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516644,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.531177676326554,0.6276835837055603,0.5436798760326946,0.6772438629676112,1.5,32.5534,0.20004294871794873,0.03793910256410253,0.02260641025641027,0.6100129399585922,0.9481780538302277,0.09249715320910974,0.6084057971014493,50.7382,25.0704,29.471,50.8675,1,1,1,1,1,1,1,1,1,0.9917589743589744,0.5880641025641028,0.03741602564102564,1,1,1,1,-3
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN122_FRIULI.A_A-COD000,14.923932036886482,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166579,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.9099916851583985,0.9356476130873296,0.20437787589188958,0.2516695786647148,1.5,22.5816,0.003136538461538462,0.005013461538461537,0.0048641025641025576,0.3347153209109731,0.10716511387163562,0.11063069358178054,0.1923592132505176,66.4536,65.955,66.5745,67.6301,0,0,0,0,0,0,0,0,0,3.474358974359104e-05,1.487179487179551e-05,0.00017192307692307735,0,0,0,0,0
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN20_NCALIF.FH_H-FRN044,4.197507267686058,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166912,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.1121249333154266,0.8964912998348668,0.29403621385714934,0.3951732303644144,1.5,27.0594,0.022244871794871807,0.023014743589743585,0.029553846153846146,2.8564699792960666,1.3645056935817805,1.219363354037267,0.9843400621118013,84.2499,77.6248,77.1366,83.3746,0,0,0,0,0,1,1,1,1,0.015290397435897435,0.012032500000000005,0.013845128205128204,1,1,1,0,0
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN36_BORREGO_A-ELC180,6.9683163155699654,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166468,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.2711358731791687,1.0644464051394196,0.2843768211113641,0.40765291531185327,1.5,26.84,0.019223717948717942,0.021133974358974343,0.020087179487179495,2.4017417184265013,0.9746273291925467,1.1044099378881989,0.8423680124223603,90.0946,90.1356,89.9891,89.6563,0,0,0,0,0,0,1,1,1,0.0018015448717948717,0.0011622307692307691,0.002184544871794872,1,1,1,1,0
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN577_SMART1.45_45O01EW,5.708794612272307,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166372,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.5298524851475737,0.688674596977399,0.5182828761109273,0.5344968564596503,1.5,27.1943,0.03165384615384617,0.031302564102564094,0.034333974358974347,3.4140527950310564,1.4654787784679089,1.1349715320910976,1.3903545548654246,61.181000000000004,62.1068,59.0132,67.243,0,0,0,1,1,1,1,1,1,0.0026529403846153846,0.011773025641025642,0.007141089743589746,1,1,1,1,0
1.0170000000000001,2.281,3.5,0.15,1.0,1.0,0.031169311330787812,40.0,RSN575_SMART1.45_45M01EW,5.065118072135863,0.07672302769451864,0.07672302769451864,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166792,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.9012327789065063,1.7353489594347093,0.6105364564099137,0.44689594966072727,0.5022985406988222,1.5,27.0895,0.02701794871794872,0.025253846153846144,0.0299673076923077,2.7663302277432718,1.2678959627329194,1.0310041407867496,0.9492934782608695,61.6891,55.1792,49.5095,53.4204,0,0,0,1,1,1,1,1,1,0.017884262820512815,0.014093141025641027,0.011300705128205121,1,1,1,0,0
