,repair_cost,repair_time,repair_time
,,parallel,sequential
10%,963419.1715927075,222.15741052808528,615.9249626125822
50%,1177795.6190082608,342.65095312967594,805.1827904168301
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,2499253.933471172,1218.3370168902698,1554.8861804024632
std,2908457.172788618,1841.834839654261,1669.7506911823127
min,619482.2707654472,113.50503370155971,371.7214649836606
10%,855325.1493747538,195.23910297949084,563.205707337382
50%,1019957.9274892851,263.417075089522,709.8723695095487
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,83215.25492586265,42.5996896844491,58.54354597078596
std,352217.275235361,208.3288545863598,208.25014152219504
min,11181.675080667788,2.582714798129839,5.958576227961883
10%,26191.970385489312,9.21600655194909,18.037562812100777
50%,56688.54682997272,18.61628418480273,35.60850768736958
90%,128008.22546282307,82.99181383494648,103.97787554850976
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1088857.531734018,636.6549812864677,643.9846535862374
std,2679432.890395154,1577.7091666873175,1574.9793854915708
min,3022.9054827553537,0.20831971685953593,0.45269610383007775
10%,12254.082252571616,3.2345771908083236,5.961605707453279
50%,67990.19500875319,29.45576224998758,38.88093850748745
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,6727337.353601974,3881.0059424095416,3974.579959853884
std,2772044.42881988,1784.5131918725174,1596.1710248878528
min,802654.6861951025,173.1534965127608,493.7240822052737
10%,1122674.4455667755,265.5735010481032,738.3595552906111
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,2029431.7405877053,1191.2197907020472,1191.65135746654
std,3503152.834328034,2062.1577612922038,2061.908850762615
min,1522.9179688015606,0.12538918081875988,0.2424380521602188
10%,4543.095591157013,0.40661236348664614,0.7500294017078246
50%,8553.07866548,1.1684223657444208,1.7993992343573864
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,298403.16307116754,155.0871871612468,177.47064606497645
std,1283024.8778021908,758.0820663310942,754.633540035366
