cost_mean,cost_std,cost_min,cost_10%,cost_50%,cost_90%,cost_max,time_l_mean,time_l_std,time_l_min,time_l_10%,time_l_50%,time_l_90%,time_l_max,time_u_mean,time_u_std,time_u_min,time_u_10%,time_u_50%,time_u_90%,time_u_max,collapse_freq,irreparable_freq,replacement_freq,B_mean,B_std,B_min,B_25%,B_50%,B_75%,B_max,C_mean,C_std,C_min,C_25%,C_50%,C_75%,C_max,D_mean,D_std,D_min,D_25%,D_50%,D_75%,D_max,E_mean,E_std,E_min,E_25%,E_50%,E_75%,E_max
7020410.960376756,2611433.441598336,21672.274380573814,901067.9859718796,8100000.0,8100000.0,8100000.0,4108.409585620791,1585.1191003033846,12.859809079189404,356.2716312519862,4764.705882352941,4764.705882352941,4764.705882352941,4140.907960435736,1511.357825112172,13.636700862210144,620.5453298345483,4764.705882352941,4764.705882352941,4764.705882352941,0.5974,0.2559,0.8533000000000001,261747.84341733332,320283.6524657653,0.0,9709.36503039688,127645.10596530695,427320.7648975273,2222310.944750641,258124.3687803081,166736.3289206549,714.8572660914733,132782.33323353063,226721.3565107208,342145.9504388259,1062402.1247527886,213795.25031555805,161236.527577407,0.0,97754.85695935762,189503.45928710225,287722.4779836499,1418307.0069459097,7170.713197480801,3536.438617289312,595.6783635374644,4825.983452614064,6524.650819126686,8654.229849365931,31040.71490485724
5071499.145187013,3680197.3756727446,6162.550599272467,254144.49480693645,8100000.0,8100000.0,8100000.0,2922.234404489056,2233.502608552704,0.4690409018789629,79.89681986769267,4764.705882352941,4764.705882352941,4764.705882352941,3012.3660088525994,2135.36658038767,0.9583857692521606,163.31939199863805,4764.705882352941,4764.705882352941,4764.705882352941,0.3319,0.2624,0.5943,174710.03399694632,282238.44014145224,0.0,594.2681190909033,30617.43121375869,231795.15212046652,1872142.2390955577,237393.8907927996,179903.8851140945,0.0,99090.21088101168,202022.9815086452,332484.89405489486,1143235.2790840298,216165.4548777204,173615.87582122433,0.0,94953.08344609768,185949.0552589969,292381.3558516657,1407576.293239592,6852.989538874536,3682.5357396147247,0.0,4398.181632634458,6244.953448407042,8541.85924616058,33875.97396886811
1700885.7268702278,2988661.934070828,772.7492203063298,14258.385526888853,278002.06421343505,8100000.0,8100000.0,922.433550571806,1784.519651219753,0.1026356286830122,4.715119423572058,84.17832801470999,4764.705882352941,4764.705882352941,1017.0251269599104,1753.9833575493856,0.2053930587730471,7.867463502058252,177.10799108991586,4764.705882352941,4764.705882352941,0.0603,0.1166,0.1769,73395.44571420949,219041.75509287624,0.0,0.0,0.0,6667.009808053757,1983200.6636932332,123595.2886622982,133363.4968592205,0.0,21436.123116981675,76888.59612533318,181464.49876218996,948491.8943073592,121727.14384343495,104503.40858219651,0.0,15383.46326277742,114883.16220061228,189990.7870486132,790849.4950526124,6875.277982496367,3331.0811659508704,772.7492203063298,4609.940944918228,6204.94373129284,8334.063572114252,33812.25803560441
