S1,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed
0.87424152,3.489223445,0.145693202,0.012396698,24.00904143,1.72668346,1.810731232,RSN68_SFERN_PEL090,3.488379318,0.061288993,0.061288993,79.22983672,79.22983672,W21X55,W21X44,W14X120,38.55609623,1.448374569,1.978302442,4.023654554,0.441914998,0.217275491,0.516483195,0.867158424,0.274550522,0.367769398,0.385655593,25.0325,0.023327564,0.018819231,0.013365385,0.588188406,0.338266046,0.251105072,0.350168219,46.12,45.0563,44.5544,48.3607,0,0,0,0,0,0,1,1,1,0.005601974,0.003079551,0.000600321,0,0,0,0,0
0.877745651,3.181158059,0.108682266,0.016487104,32.14868915,0.999170009,0.868644245,RSN138_TABAS_BOS-L1,6.154347784,0.071581713,0.071581713,61.08250939,61.08250939,W24X76,W18X40,W14X193,22.27222765,1.111109484,2.248596084,3.53292764,0.390352744,0.248447107,0.518553361,1.028416747,0.39868954,0.191284106,0.255927569,14.9285,0.005887821,0.007604487,0.006611538,0.419345238,0.17861206,0.230430383,0.271200828,38.5426,38.1864,39.2309,43.0224,0,0,0,0,0,0,0,1,0,3.77E-05,3.71E-05,0.000237788,0,0,0,0,0
1.06967139,3.415345518,0.102870447,0.018031151,44.21825479,1.778667554,0.667712441,RSN3747_CAPEMEND_CRW270,4.527091248,0.103417857,0.103417857,70.74920767,70.74920767,W30X90,W21X44,W14X257,52.62238468,0.889996873,2.731331848,3.802218736,0.391629963,0.28132821,0.631938983,0.823677543,0.571690999,0.372569761,0.345348052,29.0584,0.004969872,0.005744231,0.004728205,0.548791408,0.25630176,0.275005176,0.283579193,56.4878,57.8048,59.9842,61.982,0,0,0,0,0,0,0,0,0,1.62E-05,1.33E-05,0.000185872,0,0,0,0,0
0.989846987,2.730374957,0.192982842,0.043518273,17.22367412,0.690845649,0.91161098,RSN1549_CHICHI_TCU129-E,1.953791694,0.093880587,0.093880587,53.39338976,53.39338976,W24X84,W21X44,W14X211,12.35650662,1.040305788,1.374055094,3.303087315,0.720383769,0.299673273,0.584780433,1.136920961,0.983458116,0.193118553,0.302872001,12.0168,0.00584,0.007454295,0.007835577,1.425452899,0.323566253,0.4513794,0.41429089,56.051,57.4659,58.6854,61.2853,0,0,0,0,0,0,0,1,1,0.001021224,0.00124941,0.000730797,0,0,0,0,0
0.854403402,3.895197392,0.159428349,0.023797759,15.06313623,0.577453763,1.551370153,RSN471_MORGAN_SJL270,12.00196443,0.043227935,0.043227935,99.41669914,99.41669914,W21X50,W21X44,W14X109,13.64733938,1.542654667,1.176224272,4.507191152,0.726394976,0.189564492,0.50476326,1.17305436,0.940397806,0.102912315,0.194340193,10.493,0.008699295,0.014824038,0.013321731,0.917109213,0.30052795,0.368708592,0.396772774,32.9977,31.4493,39.5853,41.7987,0,0,0,0,0,0,1,1,1,0.000682949,0.00143,0.00159609,0,0,0,0,0
0.826714946,3.831960648,0.190437685,0.025233947,24.12218912,1.450959146,1.098249591,RSN523_PALMSPR_IND000,13.65545824,0.051050021,0.051050021,103.7254132,103.7254132,W24X55,W21X44,W14X145,30.57766417,1.321385385,1.578817035,4.603825925,0.523629356,0.179571287,0.488405512,1.02292273,0.71910844,0.101329704,0.139057751,11.1055,0.007635256,0.011656731,0.01110141,1.004614389,0.165700052,0.199733954,0.377036749,25.8408,26.6242,36.8477,42.5723,0,0,0,0,0,0,1,1,1,0.001372954,0.002846283,0.003236673,0,0,0,0,0
0.933682771,3.557655803,0.187266041,0.036262345,29.5490161,0.427232682,1.688647464,RSN347_COALINGA.H_H-Z09000,8.670002276,0.063000703,0.063000703,88.64704831,88.64704831,W21X55,W21X44,W14X120,9.50205899,1.448374573,1.600819955,4.256066911,0.583252831,0.219376901,0.551599815,1.11961635,0.762675094,0.149659345,0.276666188,10.6141,0.039370769,0.032342949,0.029421795,2.159358178,1.015204451,0.610973085,0.695263975,43.9085,40.868,53.6708,58.8165,0,0,0,1,1,1,1,1,1,0.030163462,0.018106538,0.010045641,1,1,1,0,0
1.071139089,2.619090375,0.133416263,0.043256374,32.5609556,1.360706835,1.125361457,RSN65_SFERN_OPP000,19.2917359,0.18203148,0.18203148,45.58533784,45.58533784,W24X84,W21X44,W14X193,28.73504237,1.063256238,2.252202377,3.052030689,0.475596287,0.350959475,0.632806068,1.195786289,0.595292938,0.243373897,0.353559132,19.4772,0.011505128,0.012323077,0.009271154,1.026469979,0.371542443,0.405525362,0.408216874,68.364,67.9551,70.9412,75.0819,0,0,0,0,0,0,1,1,1,0.00305325,0.002158923,0.00125641,0,0,0,0,0
1.194667264,2.549118355,0.14872309,0.063213984,26.20409458,0.535664938,1.222953466,RSN1083_NORTHR_GLE170,8.166545927,0.118875373,0.118875373,41.92655133,41.92655133,W24X84,W21X44,W14X193,11.86063368,1.063256241,1.583404811,2.926987568,0.754492633,0.408155907,0.705783873,1.681211694,0.793920898,0.318288159,0.360384671,12.586,0.011008718,0.014523718,0.016335256,1.785069876,0.844609213,0.656462215,0.681097308,47.2127,40.8888,46.9005,55.8846,0,0,0,0,0,0,1,1,1,0.001730635,0.001023654,0.003517974,1,0,1,0,0
1.066805334,3.422279456,0.141624864,0.024240846,38.3318581,0.460484497,0.506688742,RSN523_PALMSPR_IND000,17.6212076,0.094515687,0.094515687,76.66371619,76.66371619,W30X99,W18X55,W14X311,12.41990493,0.822872649,2.41326064,3.957958544,0.442059725,0.269534237,0.630245779,1.319994793,0.365831765,0.194933449,0.203192205,13.8795,0.01813141,0.018849359,0.018360256,2.842313665,1.505450311,1.824037267,1.561736542,57.1636,56.1538,66.3171,83.4878,0,0,0,0,0,0,1,1,1,0.010646378,0.009221218,0.006181923,1,1,1,0,0
0.82978679,3.387240377,0.141883739,0.015296354,29.8190274,1.499273485,1.888334512,RSN4230_NIIGATA_NIGH13NS,15.83330936,0.065817286,0.065817286,74.54756849,74.54756849,W21X55,W21X44,W14X120,31.11297221,1.448374569,2.162662426,3.902950548,0.383687616,0.212604997,0.490220291,1.010586461,0.370451746,0.276721943,0.317694304,11.6318,0.008646154,0.012653205,0.009389103,0.447197205,0.164819099,0.193640787,0.266899586,34.0148,38.1244,43.9798,48.8554,0,0,0,0,0,0,1,1,1,0.005321603,0.007726603,0.005046795,0,0,0,0,0
0.833611858,3.149089092,0.11836762,0.024335866,44.67236895,0.417302932,1.438699211,RSN3760_LANDERS_BLC360,9.25050573,0.10452982,0.10452982,62.54131653,62.54131653,W24X55,W21X44,W14X120,8.542762421,1.387456259,2.646345295,3.574866407,0.315004946,0.233186856,0.49248006,0.733082321,0.362076233,0.204485035,0.289105873,9.55006,0.107318526,0.088817949,0.018048077,0.457380952,0.217245859,0.061869048,0.012882686,5.86324,5.90254,6.29752,4.56548,1,1,0,1,1,0,1,1,1,0.098419872,0.0814,0.017001282,1,1,1,0,-3
1.295243576,3.98339641,0.162267393,0.027656879,36.78661363,1.394884968,1.937467211,RSN138_TABAS_BOS-L1,9.081650736,0.082823789,0.082823789,106.6811795,106.6811795,W24X55,W18X40,W14X132,50.79327725,1.371024124,2.237602799,4.668960629,0.578853216,0.277415828,0.765202208,1.517581073,0.595068698,0.346937923,0.332570647,28.6499,0.015091026,0.01858141,0.014653205,0.976513975,0.228177019,0.228884834,0.374663561,50.0564,50.519,53.0491,58.9336,0,0,0,0,0,0,1,1,1,0.006222853,0.006097885,0.004836923,0,0,0,0,0
0.861070183,2.531405152,0.101999213,0.058230488,41.16050778,1.526551565,0.715244702,RSN1545_CHICHI_TCU120-E,1.740246437,0.371355229,0.371355229,45.27655856,45.27655856,W30X90,W21X44,W14X283,27.00490247,0.868050593,2.663057782,3.041676426,0.323338903,0.283090659,0.508701851,0.828375055,0.438964321,0.341686402,0.478417273,21.6268,0.006090385,0.008142308,0.007353205,0.688770704,0.332412008,0.348975155,0.431485507,42.9324,43.6373,46.142,49.2664,0,0,0,0,0,0,0,1,1,0.000200192,2.76E-05,0.000556019,0,0,0,0,0
0.95777923,2.671644571,0.17093908,0.04414986,16.64130249,0.523600775,1.956686556,RSN779_LOMAP_LGP000,0.777308686,0.083734361,0.083734361,48.25977721,48.25977721,W24X62,W21X44,W14X145,9.28187617,1.275236001,1.267887425,3.140284269,0.755413463,0.30499762,0.565835488,0.813783896,0.68592152,0.358175987,0.349445858,10.0899,0.030842179,0.031637821,0.031810897,1.877758799,0.979039855,0.946521739,1.013167702,38.9262,35.4704,39.7764,46.0691,0,0,0,1,1,1,1,1,1,0.023136769,0.020791731,0.018719744,0,1,1,0,0
1.1383289,2.789616682,0.179122668,0.062267886,39.67138385,0.714628412,0.653570789,RSN36_BORREGO_A-ELC180,5.19976129,0.156632034,0.156632034,55.53993739,55.53993739,W30X99,W21X55,W14X283,15.45261483,0.835336378,2.209928386,3.368829258,0.515097642,0.337900443,0.672500372,0.948522255,0.790586803,0.331307061,0.492054767,17.594,0.051952564,0.041266026,0.036776282,4.144642857,2.305232919,1.352717391,1.31927795,58.5005,60.1402,60.5052,61.4324,1,0,0,1,1,1,1,1,1,0.037331321,0.026725769,0.021219808,1,1,1,0,0
1.012323207,2.987633146,0.162119471,0.039540187,39.03591809,0.624919256,1.577062856,RSN187_IMPVALL.H_H-PTS225,6.4312898,0.130026071,0.130026071,62.45746894,62.45746894,W24X62,W18X40,W14X145,13.34357584,1.290991615,2.356045656,3.572469237,0.429670454,0.283367929,0.598058903,0.707479823,0.600453821,0.352786097,0.423356289,15.1308,0.199989679,0.144737179,0.073659615,0.341576087,0.149971014,0.206530797,0.052419255,5.0044,15.5542,35.0727,52.2288,1,1,1,1,1,1,1,1,1,0.645127564,0.514387179,0.459371795,1,1,1,0,-3
0.87220091,3.796701851,0.174013955,0.039286468,42.27134066,1.509267031,1.664828283,RSN1107_KOBE_KAK000,4.206189343,0.048211894,0.048211894,97.22408351,97.22408351,W21X50,W21X44,W14X109,34.39965712,1.54265467,1.264552014,4.457211438,0.689731146,0.195683091,0.515277647,0.991898944,0.740208065,0.116207831,0.153128087,8.69779,0.008983949,0.011665769,0.008943962,1.272246377,0.256651139,0.237409938,0.320395963,30.7002,30.5068,32.8043,43.3512,0,0,0,0,0,0,1,1,1,0.000180128,0.000217115,0.000375981,0,0,0,0,0
